word,count,frequency_rank,train_count,standard_frequency_rank
诺言,4,1114,0,
调查,4,1115,4,873
谎,4,1116,4,874
谜,4,1117,4,875
谦虚,4,1118,2,1968
负有责任,4,1119,4,876
走来,4,1120,0,
走运,4,1121,0,
赶到,4,1122,4,878
赶紧,4,1123,4,879
起程,4,1124,4,880
跨,4,1125,4,881
跳舞,4,1126,4,884
躯体,4,1127,0,
转悠,4,1128,4,886
边上,4,1129,4,887
还要,4,1130,2,2012
这件,4,1131,4,888
这样一来,4,1132,4,889
这次,4,1133,4,890
这种,4,1134,2,2019
远远,4,1135,0,
追赶,4,1136,4,891
通情达理,4,1137,4,892
通过,4,1138,0,
造成,4,1139,2,2034
道理,4,1140,2,2035
遗憾,4,1141,4,893
那边,4,1142,4,895
醒,4,1143,2,2045
重新,4,1144,4,897
野兽,4,1145,0,
铅笔画,4,1146,2,2060
锤子,4,1147,4,899
长时间,4,1148,4,900
闪过,4,1149,2,2069
闪闪发亮,4,1150,4,901
闲逛,4,1151,4,902
间,4,1152,4,903
闹,4,1153,4,904
闻,4,1154,4,905
附近,4,1155,2,2072
降临,4,1156,2,2073
随便,4,1157,4,908
随口,4,1158,2,2077
难得,4,1159,4,909
静静地,4,1160,4,910
静默,4,1161,2,2088
靠,4,1162,0,
面前,4,1163,4,912
音乐,4,1164,2,2093
领,4,1165,0,
飞,4,1166,2,2101
驶过,4,1167,4,914
麦子,4,1168,4,916
麻烦,4,1169,2,2117
黄,4,1170,4,917
默默地,4,1171,4,918
下去,3,1172,3,919
世上,3,1173,3,921
今晚,3,1174,3,922
低头,3,1175,2,1078
千万别,3,1176,1,2129
只管,3,1177,3,924
哎,3,1178,1,2131
多多,3,1179,2,1297
天上,3,1180,2,1317
天上掉,3,1181,0,
得出,3,1182,1,2140
怎么样,3,1183,3,927
成,3,1184,3,928
手帕,3,1185,0,
打招呼,3,1186,1,2147
招呼,3,1187,3,929
无缘无故,3,1188,3,930
月光,3,1189,3,931
本,3,1190,3,932
本该,3,1191,3,933
激动,3,1192,3,936
